Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1.0,5.1,3.5,1.4,0.2,Iris-setosa
2.0,4.9,3.0,1.4,0.2,Iris-setosa
3.0,4.7,3.2,1.3,0.2,Iris-setosa
4.0,4.6,3.1,1.5,0.2,Iris-setosa
5.0,5.0,3.6,1.4,0.2,Iris-setosa
6.0,5.4,3.9,1.7,0.4,Iris-setosa
7.0,4.6,3.4,1.4,0.3,Iris-setosa
8.0,5.0,3.4,1.5,0.2,Iris-setosa
9.0,4.4,2.9,1.4,0.2,Iris-setosa
10.0,4.9,3.1,1.5,0.1,Iris-setosa
11.0,5.4,3.7,1.5,0.2,Iris-setosa
12.0,4.8,3.4,1.6,0.2,Iris-setosa
13.0,4.8,3.0,1.4,0.1,Iris-setosa
14.0,4.3,3.0,1.1,0.1,Iris-setosa
15.0,5.8,4.0,1.2,0.2,Iris-setosa
75.8993288590604,5.844295302013423,3.0449664429530205,3.773825503355704,1.2040268456375842,Iris-setosa
17.0,5.4,3.9,1.3,0.4,Iris-setosa
18.0,5.1,3.5,1.4,0.3,Iris-setosa
19.0,5.7,3.8,1.7,0.3,Iris-setosa
20.0,5.1,3.8,1.5,0.3,Iris-setosa
21.0,5.4,3.4,1.7,0.2,Iris-setosa
22.0,5.1,3.7,1.5,0.4,Iris-setosa
23.0,4.6,3.6,1.0,0.2,Iris-setosa
24.0,5.1,3.3,1.7,0.5,Iris-setosa
25.0,4.8,3.4,1.9,0.2,Iris-setosa
26.0,5.0,3.0,1.6,0.2,Iris-setosa
27.0,5.0,3.4,1.6,0.4,Iris-setosa
28.0,5.2,3.5,1.5,0.2,Iris-setosa
29.0,5.2,3.4,1.4,0.2,Iris-setosa
30.0,4.7,3.2,1.6,0.2,Iris-setosa
31.0,4.8,3.1,1.6,0.2,Iris-setosa
32.0,5.4,3.4,1.5,0.4,Iris-setosa
33.0,5.2,4.1,1.5,0.1,Iris-setosa
34.0,5.5,4.2,1.4,0.2,Iris-setosa
35.0,4.9,3.1,1.5,0.1,Iris-setosa
36.0,5.0,3.2,1.2,0.2,Iris-setosa
37.0,5.5,3.5,1.3,0.2,Iris-setosa
38.0,4.9,3.1,1.5,0.1,Iris-setosa
39.0,4.4,3.0,1.3,0.2,Iris-setosa
40.0,5.1,3.4,1.5,0.2,Iris-setosa
41.0,5.0,3.5,1.3,0.3,Iris-setosa
42.0,4.5,2.3,1.3,0.3,Iris-setosa
43.0,4.4,3.2,1.3,0.2,Iris-setosa
44.0,5.0,3.5,1.6,0.6,Iris-setosa
45.0,5.1,3.8,1.9,0.4,Iris-setosa
46.0,4.8,3.0,1.4,0.3,Iris-setosa
47.0,5.1,3.8,1.6,0.2,Iris-setosa
48.0,4.6,3.2,1.4,0.2,Iris-setosa
49.0,5.3,3.7,1.5,0.2,Iris-setosa
50.0,5.0,3.3,1.4,0.2,Iris-setosa
51.0,7.0,3.2,4.7,1.4,Iris-versicolor
52.0,6.4,3.2,4.5,1.5,Iris-versicolor
53.0,6.9,3.1,4.9,1.5,Iris-versicolor
54.0,5.5,2.3,4.0,1.3,Iris-versicolor
55.0,6.5,2.8,4.6,1.5,Iris-versicolor
56.0,5.7,2.8,4.5,1.3,Iris-versicolor
57.0,6.3,3.3,4.7,1.6,Iris-versicolor
58.0,4.9,2.4,3.3,1.0,Iris-versicolor
59.0,6.6,2.9,4.6,1.3,Iris-versicolor
60.0,5.2,2.7,3.9,1.4,Iris-versicolor
61.0,5.0,2.0,3.5,1.0,Iris-versicolor
62.0,5.9,3.0,4.2,1.5,Iris-versicolor
63.0,6.0,2.2,4.0,1.0,Iris-versicolor
64.0,6.1,2.9,4.7,1.4,Iris-versicolor
65.0,5.6,2.9,3.6,1.3,Iris-versicolor
66.0,6.7,3.1,4.4,1.4,Iris-versicolor
67.0,5.6,3.0,4.5,1.5,Iris-versicolor
68.0,5.8,2.7,4.1,1.0,Iris-versicolor
69.0,6.2,2.2,4.5,1.5,Iris-versicolor
70.0,5.6,2.5,3.9,1.1,Iris-versicolor
71.0,5.9,3.2,4.8,1.8,Iris-versicolor
72.0,6.1,2.8,4.0,1.3,Iris-versicolor
